4.4192e-03 4.7817e-03 5.1583e-03 5.5489e-03 5.9535e-03 6.3720e-03 6.8045e-03 7.2509e-03 7.7111e-03 8.1851e-03 8.6729e-03 9.1744e-03 9.6896e-03 1.0218e-02 1.0761e-02 1.1317e-02 1.1886e-02 1.2469e-02 1.3065e-02 1.3675e-02 1.4297e-02 1.4933e-02 1.5583e-02 1.6245e-02 1.6920e-02 1.7608e-02 1.8310e-02 1.9024e-02 1.9751e-02 2.0490e-02 2.1242e-02 2.2007e-02 2.2785e-02 2.3574e-02 2.4377e-02 2.5191e-02 2.6018e-02 2.6857e-02 2.7708e-02 2.8571e-02 2.9446e-02 3.0333e-02 3.1232e-02 3.2142e-02 3.3065e-02 3.3998e-02 3.4943e-02 3.5900e-02 3.6868e-02 3.7847e-02 3.8837e-02 3.9838e-02 4.0850e-02 4.1873e-02 4.2907e-02 4.3952e-02 4.5007e-02 4.6073e-02 4.7149e-02 4.8235e-02 4.9332e-02 5.0439e-02 5.1556e-02 5.2683e-02 5.3819e-02 5.4966e-02 5.6122e-02 5.7287e-02 5.8463e-02 5.9647e-02 6.0841e-02 6.2044e-02 6.3256e-02 6.4476e-02 6.5706e-02 6.6945e-02 6.8192e-02 6.9447e-02 7.0711e-02 7.1984e-02 7.3264e-02 7.4553e-02 7.5850e-02 7.7154e-02 7.8467e-02 7.9787e-02 8.1114e-02 8.2449e-02 8.3792e-02 8.5141e-02 8.6498e-02 8.7861e-02 8.9232e-02 9.0609e-02 9.1993e-02 9.3384e-02 9.4781e-02 9.6184e-02 9.7593e-02 9.9009e-02
4.6021e-03 4.9795e-03 5.3716e-03 5.7783e-03 6.1995e-03 6.6352e-03 7.0854e-03 7.5501e-03 8.0291e-03 8.5225e-03 9.0302e-03 9.5522e-03 1.0088e-02 1.0639e-02 1.1203e-02 1.1781e-02 1.2374e-02 1.2980e-02 1.3601e-02 1.4235e-02 1.4883e-02 1.5544e-02 1.6219e-02 1.6908e-02 1.7611e-02 1.8326e-02 1.9056e-02 1.9798e-02 2.0554e-02 2.1323e-02 2.2105e-02 2.2900e-02 2.3708e-02 2.4529e-02 2.5363e-02 2.6210e-02 2.7069e-02 2.7941e-02 2.8825e-02 2.9722e-02 3.0631e-02 3.1552e-02 3.2485e-02 3.3431e-02 3.4389e-02 3.5358e-02 3.6340e-02 3.7333e-02 3.8337e-02 3.9354e-02 4.0381e-02 4.1421e-02 4.2471e-02 4.3532e-02 4.4605e-02 4.5689e-02 4.6783e-02 4.7889e-02 4.9005e-02 5.0131e-02 5.1268e-02 5.2416e-02 5.3574e-02 5.4742e-02 5.5920e-02 5.7108e-02 5.8306e-02 5.9513e-02 6.0731e-02 6.1958e-02 6.3194e-02 6.4439e-02 6.5694e-02 6.6958e-02 6.8231e-02 6.9513e-02 7.0803e-02 7.2103e-02 7.3410e-02 7.4727e-02 7.6051e-02 7.7384e-02 7.8725e-02 8.0073e-02 8.1430e-02 8.2794e-02 8.4166e-02 8.5546e-02 8.6932e-02 8.8326e-02 8.9727e-02 9.1136e-02 9.2551e-02 9.3972e-02 9.5401e-02 9.6836e-02 9.8277e-02 9.9725e-02 1.0118e-01 1.0264e-01
4.7966e-03 5.1899e-03 5.5984e-03 6.0222e-03 6.4610e-03 6.9150e-03 7.3841e-03 7.8681e-03 8.3672e-03 8.8811e-03 9.4100e-03 9.9536e-03 1.0512e-02 1.1085e-02 1.1673e-02 1.2275e-02 1.2892e-02 1.3524e-02 1.4170e-02 1.4830e-02 1.5504e-02 1.6193e-02 1.6896e-02 1.7613e-02 1.8344e-02 1.9089e-02 1.9848e-02 2.0621e-02 2.1407e-02 2.2207e-02 2.3021e-02 2.3848e-02 2.4689e-02 2.5543e-02 2.6410e-02 2.7290e-02 2.8184e-02 2.9090e-02 3.0010e-02 3.0942e-02 3.1887e-02 3.2845e-02 3.3815e-02 3.4798e-02 3.5793e-02 3.6800e-02 3.7820e-02 3.8852e-02 3.9895e-02 4.0951e-02 4.2018e-02 4.3097e-02 4.4188e-02 4.5290e-02 4.6404e-02 4.7529e-02 4.8665e-02 4.9812e-02 5.0970e-02 5.2139e-02 5.3319e-02 5.4509e-02 5.5710e-02 5.6921e-02 5.8143e-02 5.9374e-02 6.0616e-02 6.1868e-02 6.3130e-02 6.4401e-02 6.5682e-02 6.6972e-02 6.8272e-02 6.9581e-02 7.0900e-02 7.2227e-02 7.3563e-02 7.4908e-02 7.6261e-02 7.7623e-02 7.8994e-02 8.0373e-02 8.1760e-02 8.3154e-02 8.4557e-02 8.5968e-02 8.7386e-02 8.8812e-02 9.0245e-02 9.1685e-02 9.3132e-02 9.4587e-02 9.6048e-02 9.7516e-02 9.8991e-02 1.0047e-01 1.0196e-01 1.0345e-01 1.0495e-01 1.0646e-01
5.0037e-03 5.4139e-03 5.8399e-03 6.2818e-03 6.7395e-03 7.2128e-03 7.7019e-03 8.2067e-03 8.7270e-03 9.2628e-03 9.8141e-03 1.0381e-02 1.0963e-02 1.1560e-02 1.2173e-02 1.2801e-02 1.3444e-02 1.4102e-02 1.4775e-02 1.5463e-02 1.6166e-02 1.6883e-02 1.7616e-02 1.8363e-02 1.9124e-02 1.9900e-02 2.0690e-02 2.1495e-02 2.2314e-02 2.3147e-02 2.3994e-02 2.4856e-02 2.5731e-02 2.6620e-02 2.7522e-02 2.8439e-02 2.9368e-02 3.0312e-02 3.1268e-02 3.2238e-02 3.3221e-02 3.4218e-02 3.5227e-02 3.6249e-02 3.7284e-02 3.8331e-02 3.9391e-02 4.0464e-02 4.1549e-02 4.2646e-02 4.3755e-02 4.4876e-02 4.6010e-02 4.7155e-02 4.8311e-02 4.9480e-02 5.0660e-02 5.1851e-02 5.3053e-02 5.4267e-02 5.5491e-02 5.6727e-02 5.7973e-02 5.9230e-02 6.0497e-02 6.1775e-02 6.3063e-02 6.4361e-02 6.5669e-02 6.6988e-02 6.8316e-02 6.9653e-02 7.1000e-02 7.2357e-02 7.3722e-02 7.5097e-02 7.6481e-02 7.7874e-02 7.9275e-02 8.0685e-02 8.2104e-02 8.3531e-02 8.4966e-02 8.6409e-02 8.7860e-02 8.9319e-02 9.0785e-02 9.2259e-02 9.3740e-02 9.5229e-02 9.6725e-02 9.8227e-02 9.9737e-02 1.0125e-01 1.0278e-01 1.0430e-01 1.0584e-01 1.0738e-01 1.0893e-01 1.1048e-01
5.2244e-03 5.6526e-03 6.0973e-03 6.5586e-03 7.0362e-03 7.5303e-03 8.0407e-03 8.5675e-03 9.1104e-03 9.6696e-03 1.0245e-02 1.0836e-02 1.1443e-02 1.2067e-02 1.2706e-02 1.3361e-02 1.4031e-02 1.4718e-02 1.5420e-02 1.6137e-02 1.6870e-02 1.7618e-02 1.8382e-02 1.9161e-02 1.9954e-02 2.0763e-02 2.1587e-02 2.2426e-02 2.3279e-02 2.4148e-02 2.5030e-02 2.5928e-02 2.6839e-02 2.7765e-02 2.8706e-02 2.9660e-02 3.0628e-02 3.1611e-02 3.2607e-02 3.3617e-02 3.4640e-02 3.5677e-02 3.6728e-02 3.7791e-02 3.8868e-02 3.9958e-02 4.1061e-02 4.2177e-02 4.3305e-02 4.4446e-02 4.5600e-02 4.6766e-02 4.7944e-02 4.9134e-02 5.0337e-02 5.1551e-02 5.2777e-02 5.4015e-02 5.5264e-02 5.6524e-02 5.7796e-02 5.9079e-02 6.0373e-02 6.1678e-02 6.2994e-02 6.4320e-02 6.5656e-02 6.7003e-02 6.8361e-02 6.9728e-02 7.1105e-02 7.2492e-02 7.3889e-02 7.5295e-02 7.6711e-02 7.8135e-02 7.9569e-02 8.1012e-02 8.2464e-02 8.3924e-02 8.5393e-02 8.6870e-02 8.8355e-02 8.9849e-02 9.1350e-02 9.2859e-02 9.4376e-02 9.5900e-02 9.7432e-02 9.8971e-02 1.0052e-01 1.0207e-01 1.0363e-01 1.0519e-01 1.0677e-01 1.0835e-01 1.0993e-01 1.1152e-01 1.1312e-01 1.1472e-01
5.4601e-03 5.9075e-03 6.3721e-03 6.8540e-03 7.3530e-03 7.8692e-03 8.4023e-03 8.9525e-03 9.5196e-03 1.0104e-02 1.0704e-02 1.1322e-02 1.1956e-02 1.2607e-02 1.3274e-02 1.3958e-02 1.4658e-02 1.5375e-02 1.6107e-02 1.6856e-02 1.7621e-02 1.8402e-02 1.9199e-02 2.0011e-02 2.0840e-02 2.1684e-02 2.2543e-02 2.3418e-02 2.4308e-02 2.5214e-02 2.6134e-02 2.7070e-02 2.8021e-02 2.8986e-02 2.9966e-02 3.0961e-02 3.1970e-02 3.2994e-02 3.4032e-02 3.5084e-02 3.6151e-02 3.7231e-02 3.8325e-02 3.9433e-02 4.0554e-02 4.1689e-02 4.2837e-02 4.3999e-02 4.5173e-02 4.6361e-02 4.7561e-02 4.8774e-02 5.0000e-02 5.1238e-02 5.2489e-02 5.3752e-02 5.5027e-02 5.6313e-02 5.7612e-02 5.8922e-02 6.0244e-02 6.1577e-02 6.2921e-02 6.4277e-02 6.5643e-02 6.7020e-02 6.8408e-02 6.9806e-02 7.1215e-02 7.2634e-02 7.4063e-02 7.5502e-02 7.6951e-02 7.8409e-02 7.9877e-02 8.1354e-02 8.2840e-02 8.4336e-02 8.5840e-02 8.7353e-02 8.8874e-02 9.0404e-02 9.1942e-02 9.3488e-02 9.5042e-02 9.6603e-02 9.8172e-02 9.9749e-02 1.0133e-01 1.0292e-01 1.0452e-01 1.0613e-01 1.0774e-01 1.0936e-01 1.1098e-01 1.1261e-01 1.1425e-01 1.1589e-01 1.1754e-01 1.1919e-01
5.7121e-03 6.1800e-03 6.6659e-03 7.1698e-03 7.6917e-03 8.2314e-03 8.7889e-03 9.3641e-03 9.9570e-03 1.0568e-02 1.1196e-02 1.1841e-02 1.2504e-02 1.3184e-02 1.3882e-02 1.4596e-02 1.5328e-02 1.6076e-02 1.6842e-02 1.7624e-02 1.8423e-02 1.9239e-02 2.0071e-02 2.0920e-02 2.1785e-02 2.2666e-02 2.3563e-02 2.4477e-02 2.5406e-02 2.6351e-02 2.7312e-02 2.8289e-02 2.9281e-02 3.0288e-02 3.1311e-02 3.2348e-02 3.3401e-02 3.4469e-02 3.5551e-02 3.6649e-02 3.7760e-02 3.8887e-02 4.0027e-02 4.1182e-02 4.2350e-02 4.3533e-02 4.4729e-02 4.5939e-02 4.7163e-02 4.8399e-02 4.9649e-02 5.0912e-02 5.2189e-02 5.3477e-02 5.4779e-02 5.6093e-02 5.7419e-02 5.8758e-02 6.0109e-02 6.1471e-02 6.2845e-02 6.4231e-02 6.5629e-02 6.7038e-02 6.8457e-02 6.9888e-02 7.1330e-02 7.2782e-02 7.4245e-02 7.5719e-02 7.7202e-02 7.8695e-02 8.0199e-02 8.1712e-02 8.3234e-02 8.4766e-02 8.6308e-02 8.7858e-02 8.9417e-02 9.0985e-02 9.2561e-02 9.4146e-02 9.5739e-02 9.7339e-02 9.8948e-02 1.0056e-01 1.0219e-01 1.0382e-01 1.0546e-01 1.0710e-01 1.0876e-01 1.1041e-01 1.1208e-01 1.1375e-01 1.1543e-01 1.1711e-01 1.1880e-01 1.2050e-01 1.2220e-01 1.2390e-01
5.9820e-03 6.4718e-03 6.9805e-03 7.5080e-03 8.0542e-03 8.6191e-03 9.2026e-03 9.8046e-03 1.0425e-02 1.1064e-02 1.1721e-02 1.2397e-02 1.3090e-02 1.3802e-02 1.4531e-02 1.5279e-02 1.6044e-02 1.6827e-02 1.7628e-02 1.8446e-02 1.9281e-02 2.0134e-02 2.1004e-02 2.1891e-02 2.2795e-02 2.3716e-02 2.4654e-02 2.5608e-02 2.6579e-02 2.7567e-02 2.8571e-02 2.9591e-02 3.0627e-02 3.1679e-02 3.2746e-02 3.3830e-02 3.4929e-02 3.6044e-02 3.7173e-02 3.8318e-02 3.9478e-02 4.0653e-02 4.1843e-02 4.3047e-02 4.4266e-02 4.5499e-02 4.6747e-02 4.8008e-02 4.9283e-02 5.0572e-02 5.1875e-02 5.3191e-02 5.4520e-02 5.5863e-02 5.7218e-02 5.8586e-02 5.9967e-02 6.1361e-02 6.2766e-02 6.4184e-02 6.5614e-02 6.7056e-02 6.8509e-02 6.9974e-02 7.1450e-02 7.2938e-02 7.4436e-02 7.5945e-02 7.7465e-02 7.8996e-02 8.0536e-02 8.2087e-02 8.3648e-02 8.5218e-02 8.6798e-02 8.8387e-02 8.9986e-02 9.1594e-02 9.3210e-02 9.4836e-02 9.6469e-02 9.8111e-02 9.9761e-02 1.0142e-01 1.0309e-01 1.0476e-01 1.0644e-01 1.0813e-01 1.0982e-01 1.1152e-01 1.1323e-01 1.1495e-01 1.1667e-01 1.1839e-01 1.2013e-01 1.2187e-01 1.2361e-01 1.2536e-01 1.2711e-01 1.2887e-01
6.2714e-03 6.7847e-03 7.3178e-03 7.8706e-03 8.4429e-03 9.0348e-03 9.6462e-03 1.0277e-02 1.0927e-02 1.1596e-02 1.2285e-02 1.2992e-02 1.3718e-02 1.4464e-02 1.5228e-02 1.6010e-02 1.6811e-02 1.7631e-02 1.8469e-02 1.9325e-02 2.0200e-02 2.1092e-02 2.2003e-02 2.2931e-02 2.3877e-02 2.4840e-02 2.5821e-02 2.6820e-02 2.7835e-02 2.8868e-02 2.9917e-02 3.0983e-02 3.2066e-02 3.3166e-02 3.4282e-02 3.5414e-02 3.6563e-02 3.7727e-02 3.8907e-02 4.0103e-02 4.1314e-02 4.2541e-02 4.3783e-02 4.5040e-02 4.6312e-02 4.7599e-02 4.8901e-02 5.0217e-02 5.1547e-02 5.2891e-02 5.4250e-02 5.5622e-02 5.7007e-02 5.8407e-02 5.9819e-02 6.1245e-02 6.2683e-02 6.4135e-02 6.5598e-02 6.7075e-02 6.8563e-02 7.0064e-02 7.1576e-02 7.3100e-02 7.4636e-02 7.6183e-02 7.7741e-02 7.9310e-02 8.0890e-02 8.2480e-02 8.4081e-02 8.5692e-02 8.7313e-02 8.8943e-02 9.0583e-02 9.2233e-02 9.3892e-02 9.5560e-02 9.7236e-02 9.8922e-02 1.0062e-01 1.0232e-01 1.0403e-01 1.0574e-01 1.0747e-01 1.0920e-01 1.1094e-01 1.1269e-01 1.1444e-01 1.1620e-01 1.1797e-01 1.1974e-01 1.2152e-01 1.2331e-01 1.2510e-01 1.2689e-01 1.2869e-01 1.3050e-01 1.3231e-01 1.3412e-01
6.5822e-03 7.1208e-03 7.6801e-03 8.2600e-03 8.8604e-03 9.4813e-03 1.0123e-02 1.0784e-02 1.1466e-02 1.2168e-02 1.2889e-02 1.3631e-02 1.4393e-02 1.5174e-02 1.5975e-02 1.6795e-02 1.7635e-02 1.8494e-02 1.9372e-02 2.0269e-02 2.1185e-02 2.2120e-02 2.3074e-02 2.4046e-02 2.5037e-02 2.6046e-02 2.7073e-02 2.8118e-02 2.9181e-02 3.0261e-02 3.1360e-02 3.2476e-02 3.3609e-02 3.4759e-02 3.5926e-02 3.7111e-02 3.8311e-02 3.9529e-02 4.0763e-02 4.2013e-02 4.3279e-02 4.4561e-02 4.5859e-02 4.7172e-02 4.8501e-02 4.9845e-02 5.1204e-02 5.2577e-02 5.3966e-02 5.5369e-02 5.6787e-02 5.8218e-02 5.9664e-02 6.1123e-02 6.2596e-02 6.4082e-02 6.5582e-02 6.7094e-02 6.8620e-02 7.0158e-02 7.1708e-02 7.3271e-02 7.4846e-02 7.6432e-02 7.8031e-02 7.9640e-02 8.1261e-02 8.2893e-02 8.4536e-02 8.6189e-02 8.7853e-02 8.9527e-02 9.1211e-02 9.2905e-02 9.4608e-02 9.6321e-02 9.8042e-02 9.9773e-02 1.0151e-01 1.0326e-01 1.0502e-01 1.0678e-01 1.0855e-01 1.1033e-01 1.1212e-01 1.1391e-01 1.1572e-01 1.1752e-01 1.1934e-01 1.2116e-01 1.2299e-01 1.2482e-01 1.2666e-01 1.2850e-01 1.3035e-01 1.3220e-01 1.3406e-01 1.3593e-01 1.3779e-01 1.3966e-01
